Month,ZipCode,ZipName,Footnote,Median_Listing_Price,Median_Listing_Price_M/M,Median_Listing_Price_Y/Y,Active_Listing_Count_,Active_Listing_Count_M/M,Active_Listing_Count_Y/Y,Days_on_Market_,Days_on_Market_M/M,Days_on_Market_Y/Y,New_Listing_Count_,New_Listing_Count_M/M,New_Listing_Count_Y/Y,Price_Increase_Count_,Price_Increase_Count_M/M,Price_Increase_Count_Y/Y,Price_Decrease_Count_,Price_Decrease_Count_M/M,Price_Decrease_Count_Y/Y,Pending_Listing_Count_,Pending_Listing_Count_M/M,Pending_Listing_Count_Y/Y,Avg_Listing_Price,Avg_Listing_Price_M/M,Avg_Listing_Price_Y/Y,Total_Listing_Count,Total_Listing_Count_M/M,Total_Listing_Count_Y/Y,Pending_Ratio,Pending_Ratio_M/M,Pending_Ratio_Y/Y
4/1/19 0:00,21111,"Monkton, MD",,645975,-0.0487,-0.0017,23.5,0.2368,0.119,49.75,-0.3703,0.363,14,0.75,0.75,0,,,6,0.5,0.5,0,,,731512,-0.0188,-0.0658,23.5,0.2368,0.119,0,0,0
4/1/19 0:00,21113,"Odenton, MD",,386022.5,-0.0078,0.016,149,0,-0.051,39,-0.35,0.3,82,0.1389,0.0789,2,-0.875,-0.75,42,0.5,0.3125,0,,,430103,0.0155,0.0621,149,0,-0.051,0,0,0
4/1/19 0:00,21114,"Crofton, MD",*,358750,0.0249,,96.5,0.0966,,37.25,-0.3227,,56,-0.0667,0.2727,0,-1,,30,0.5,1.5,0,,,371210,0.0377,0.0618,96.5,0.0966,0.5317,0,0,0
4/1/19 0:00,21117,"Owings Mills, MD",,285525,0.0573,0.0392,165.5,0.1573,0.0216,36.5,-0.354,-0.0267,88,0.2222,0.0476,2,,-0.8333,50,0.5625,0.5625,0,,,497824,0.0495,0.1222,165.5,0.1573,0.0216,0,0,0
4/1/19 0:00,21120,"Parkton, MD",*,523797.5,-0.0477,,36,0.2414,,40,-0.4521,,20,0.25,1.5,0,,,8,1,0,0,,,514665,-0.0438,-0.0807,36,0.2414,0.3333,0,0,0
4/1/19 0:00,21122,"Pasadena, MD",*,377050,0.0192,0.0774,255,0.1486,0,40,-0.1111,,126,0.3125,-0.0735,4,,-0.5,78,0.1471,-0.0714,0,,,470635,0.0261,0.0271,255,0.1486,0,0,0,0
4/1/19 0:00,21128,"Perry Hall, MD",,492292.5,0.0276,-0.0251,53,0.0816,-0.2933,52.75,0.099,0.0144,36,1.25,0.125,0,,-1,14,-0.125,-0.3,0,,,462069,-0.0056,-0.0236,53,0.0816,-0.2933,0,0,0
4/1/19 0:00,21131,"Phoenix, MD",,704275,-0.0151,-0.0219,48,0.2973,0.1163,32.5,-0.6348,-0.0972,24,1,0.5,0,,,14,0.75,-0.125,0,,,733224,0.0169,-0.0934,48,0.2973,0.1163,0,0,0
4/1/19 0:00,21133,"Randallstown, MD",,259675,0.0628,0.0385,61.5,0.0082,-0.2115,48.25,-0.1958,0.1768,32,1,-0.1111,4,0,,12,0,-0.4,0,,,260138,0.0451,0.0338,61.5,0.0082,-0.2115,0,0,0
4/1/19 0:00,21136,"Reisterstown, MD",,375050,-0.0321,0.0593,145,0.2185,0.1417,44.5,-0.3258,0.1867,62,0.1923,0.2917,4,0,,34,0.2143,0.7,0,,,534458,0.0094,0.0569,145,0.2185,0.1417,0,0,0
4/1/19 0:00,21144,"Severn, MD",,437525,0.0294,0.1075,151,0.0342,0.1269,46,-0.4065,0.3939,80,0.6667,0.1111,8,1,1,36,0.2857,0.5,0,,,441225,0.0189,0.078,151,0.0342,0.1269,0,0,0
4/1/19 0:00,21146,"Severna Park, MD",*,644525,0.0751,,110,0.1702,-0.1538,40.75,-0.0739,0.3145,58,0.1154,-0.0938,0,-1,-1,36,0.2857,-0.1,0,,,810586,-0.006,0.2412,110,0.1702,-0.1538,0,0,0
4/1/19 0:00,21152,"Sparks Glencoe, MD",,545049.75,-0.031,0.1067,27,0.4211,0.1739,39,-0.4468,-0.1236,16,1,1,0,,,10,1.5,0.25,0,,,699598,-0.1731,0.0791,27,0.4211,0.1739,0,0,0
4/1/19 0:00,21154,"Street, MD",,461300,0.0027,-0.0773,16.5,-0.1316,-0.431,80,-0.4182,-0.4805,4,-0.5,0,0,,,6,0.5,0.5,0,,,437296,0.0284,-0.0768,16.5,-0.1316,-0.431,0,0,0
4/1/19 0:00,21157,"Westminster, MD",,400050,0.0331,0.1113,134,0.0894,-0.1184,51.5,-0.2313,0.1444,56,0.1667,0,0,,,36,0.2857,-0.25,0,,,414798,0.0188,0.1192,134,0.0894,-0.1184,0,0,0
4/1/19 0:00,21158,"Westminster, MD",,375025,-0.0001,0.087,90,0.3433,-0.0426,38,-0.2165,-0.0732,38,0.1875,-0.2083,4,,,28,0.4,1.3333,0,,,418032,-0.0221,0.1851,90,0.3433,-0.0426,0,0,0
4/1/19 0:00,21161,"White Hall, MD",,503700,0.0603,0.1343,27,0.08,0.35,41,-0.0989,-0.2039,0,-1,-1,0,,,6,0.5,,0,,,485757,0.0182,-0.0056,27,0.08,0.35,0,0,0
4/1/19 0:00,21162,"White Marsh, MD",*,421200,-0.0428,-0.0261,10,0,-0.2857,54.5,-0.3188,,4,0,-0.5,0,,,4,,,0,,,379980,-0.0063,-0.0769,10,0,-0.2857,0,0,0
4/1/19 0:00,21163,"Woodstock, MD",,548725,-0.0022,0.2166,29.5,0.1346,0.2292,39,0.0263,0.0685,12,-0.4,-0.25,0,,,18,1.25,1.25,0,,,551027,0.0018,0.1938,29.5,0.1346,0.2292,0,0,0
4/1/19 0:00,21201,"Baltimore, MD",,223775,0.1192,-0.1362,45,0.1538,0.5517,88,-0.1456,0.2754,10,0.25,-0.1667,0,,,10,1.5,-0.1667,0,,,278179,-0.0811,0.0199,45,0.1538,0.5517,0,0,0
4/1/19 0:00,21202,"Baltimore, MD",,257512.5,0.0281,0.0509,130,0.0924,0.1712,73,-0.1889,-0.1889,44,0.5714,0.2222,0,,,28,0.4,0.75,0,,,443292,0.0245,0.0185,130,0.0924,0.1712,0,0,0
4/1/19 0:00,21204,"Towson, MD",,473723.75,0.0827,-0.0526,53.5,0.4459,0.0094,30,-0.2105,-0.375,22,-0.45,-0.0833,0,,,14,0.75,0.75,0,,,587159,0.021,-0.0602,53.5,0.4459,0.0094,0,0,0
4/1/19 0:00,21205,"Baltimore, MD",*,81500,0.0859,0.404,97,0,0.1548,73.75,0.2292,,24,0,-0.1429,0,,,26,2.25,1.1667,0,,,103420,0.0793,0.1983,97,0,0.1548,0,0,0
4/1/19 0:00,21206,"Baltimore, MD",,149950,-0.0625,0.0715,162,-0.1243,-0.0847,64,-0.0154,0.0847,60,0.0714,0.0714,4,,-0.5,58,0.1154,0.2083,0,,,160091,-0.0068,0.0417,162,-0.1243,-0.0847,0,0,0
4/1/19 0:00,21207,"Gwynn Oak, MD",,219975,0.0139,0.0473,139.5,0.125,0.1723,47.25,-0.1,-0.125,56,0.1667,-0.0667,6,-0.25,0.5,58,1.4167,0.2083,0,,,219989,0.0084,0.0786,139.5,0.125,0.1723,0,0,0
4/1/19 0:00,21208,"Pikesville, MD",*,354972,0.0788,,103.5,0.1374,0.067,37.75,-0.3491,-0.3602,54,0.125,0.125,2,,,36,0.5,0,0,,,497819,0.0609,0.2093,103.5,0.1374,0.067,0,0,0
4/1/19 0:00,21209,"Baltimore, MD",,309774.75,-0.0009,-0.0225,75.5,0.51,0.0067,31,-0.225,-0.4259,34,-0.0556,-0.2273,2,,,26,0.625,1.1667,0,,,356756,0.034,0.048,75.5,0.51,0.0067,0,0,0
4/1/19 0:00,21210,"Baltimore, MD",,382250,0.1688,-0.1007,66,0.1,-0.1951,45.5,-0.3309,-0.0319,32,0.6,0,0,,,16,0.3333,0.3333,0,,,473094,0.0871,-0.0796,66,0.1,-0.1951,0,0,0
4/1/19 0:00,21211,"Baltimore, MD",,248625,0.037,-0.0618,118.5,0.185,0.3779,38,-0.2549,0.0857,70,0.9444,0.5909,2,,-0.5,42,0.05,0.3125,0,,,258146,0.0222,-0.0509,118.5,0.185,0.3779,0,0,0
4/1/19 0:00,21212,"Baltimore, MD",,275025,0.0999,-0.038,172,0.0955,0.1544,41.75,0.0438,0.1133,82,0.0789,0.2059,0,,,56,1.3333,0.4,0,,,396017,0.1002,0.08,172,0.0955,0.1544,0,0,0
4/1/19 0:00,21213,"Baltimore, MD",,83972.5,0.1189,0.2161,167,-0.0176,-0.0402,58.75,0.25,-0.3683,54,-0.2895,-0.0357,2,,-0.75,28,-0.2222,-0.3636,0,-1,,97560,0.0582,0.1131,167,-0.0234,-0.0402,0,-0.0059,0
4/1/19 0:00,21214,"Baltimore, MD",,199950,0.0045,0.1111,82.5,0.0714,-0.1495,40.5,-0.1649,-0.2957,44,0.1,0.1,2,-0.5,,34,0.2143,-0.0556,0,,,193252,0.0313,0.0651,82.5,0.0714,-0.1495,0,0,0
4/1/19 0:00,21215,"Baltimore, MD",,124750,-0.0408,0.1881,189,0.1455,-0.0503,55.5,-0.075,-0.119,84,0.4,0.4,4,-0.6667,0,44,0,0.2222,0,,,133541,0.003,0.0856,189,0.1455,-0.0503,0,0,0
4/1/19 0:00,21216,"Baltimore, MD",,66050,0.1784,0.1018,138,-0.0483,0.0376,71.5,-0.0949,0.1,40,0.1111,-0.2308,0,-1,,28,-0.125,0.4,0,,,93617,0.1235,0.1264,138,-0.0483,0.0376,0,0,0
4/1/19 0:00,21217,"Baltimore, MD",,57500,0.0445,-0.0328,152.5,0.0893,-0.1286,70.75,-0.0374,0.0885,58,0.6111,0.0357,2,-0.5,,32,0,0.1429,0,,,118537,-0.033,-0.1661,152.5,0.0893,-0.1286,0,0,0
4/1/19 0:00,21218,"Baltimore, MD",,157450,0.125,0.2116,229,0.0957,0.0853,58,-0.1533,-0.0413,90,0.3235,0.4063,0,-1,,62,-0.0882,0.2917,0,,,240360,0.1995,0.143,229,0.0957,0.0853,0,0,0
4/1/19 0:00,21219,"Sparrows Point, MD",*,314625,0.0248,,35.5,0.0441,,95.25,0.1206,,12,0.5,0.5,0,,,12,2,0.5,0,,,439294,0.0392,0.3752,35.5,0.0441,0.42,0,0,0
4/1/19 0:00,21220,"Middle River, MD",,274787.5,0.0093,0.0468,134,0.1453,-0.2984,52,-0.037,0.0833,62,0.1071,-0.1842,0,,,50,0.5625,-0.2188,0,,,344906,0.0312,0.2086,134,0.1453,-0.2984,0,0,0
4/1/19 0:00,21221,"Essex, MD",,239970,0.0663,0.0548,98,-0.1171,-0.1901,47.5,0.0215,0,42,-0.1923,-0.25,0,-1,,32,0.1429,0,0,,,257120,0.0555,0.0263,98,-0.1171,-0.1901,0,0,0
4/1/19 0:00,21222,"Dundalk, MD",,164975,0.0308,0.0579,143,-0.0467,-0.1829,44,-0.0638,-0.0112,64,-0.1111,-0.2381,6,0.5,0.5,58,-0.0333,-0.0938,0,,,184282,0.0211,0.0238,143,-0.0467,-0.1829,0,0,0
4/1/19 0:00,21223,"Baltimore, MD",,38869.25,0.109,0.2978,196.5,-0.0415,0.1837,75.5,-0.274,-0.281,66,0.375,0.2692,8,,1,30,-0.4231,-0.25,0,,,72683,0.0219,0.3577,196.5,-0.0415,0.1837,0,0,0
4/1/19 0:00,21224,"Baltimore, MD",,265649.5,0.0624,0.042,486,0.1854,0.034,40.5,-0.2136,-0.0899,210,0.0714,0.1932,6,0.5,0.5,188,0.3429,0.119,1,0,0,287034,0.0291,0.0033,487,0.1849,0.034,0.0021,-0.0004,-0.0001
4/1/19 0:00,21225,"Brooklyn, MD",,127500,-0.0196,0.0196,80.5,-0.1344,-0.125,40.5,-0.0581,-0.3361,34,-0.3462,-0.2273,2,,,18,0.125,-0.1,1,0,0,140044,0.0151,-0.0059,81.5,-0.133,-0.1237,0.0124,0.0017,0.0016
4/1/19 0:00,21226,"Curtis Bay, MD",,199950,0.1105,-0.1111,25,-0.2188,-0.4048,62.75,0.2067,0.5494,8,-0.5,-0.5,0,,,6,-0.25,-0.5,0,,,182096,0.0162,-0.0887,25,-0.2188,-0.4048,0,0,0
4/1/19 0:00,21227,"Halethorpe, MD",,239974.5,0.0431,0.143,83.5,0.0844,0.0844,38.5,-0.4867,0.0405,50,0.3889,0.25,4,,0,28,0.75,0.4,0,,,240889,0.0059,0.1103,83.5,0.0844,0.0844,0,0,0
4/1/19 0:00,21228,"Catonsville, MD",,326050,0.0034,0.0031,99,0.0761,0,33.5,-0.2386,0.1167,64,-0.1111,-0.1579,2,-0.5,,40,0.4286,0.4286,0,,,344339,0.0462,0.0007,99,0.0761,0,0,0,0
4/1/19 0:00,21229,"Baltimore, MD",,114650,-0.0009,-0.0485,165.5,-0.0322,-0.0149,54.25,-0.0482,0.085,66,0.0313,-0.1316,6,-0.25,-0.25,42,0.05,0.1667,0,,,123580,-0.0018,-0.0885,165.5,-0.0322,-0.0149,0,0,0
4/1/19 0:00,21230,"Baltimore, MD",,297300,-0.0055,-0.0092,391,0.0683,0.1301,50,-0.1071,-0.0196,138,-0.1154,0.1129,8,1,,158,0.463,0.4107,0,,,368570,0.0375,-0.0781,391,0.0683,0.1301,0,0,0
4/1/19 0:00,21231,"Baltimore, MD",,275049.5,0.0004,-0.0072,200.5,0.1264,0.2853,47,-0.0962,0.175,78,0.3,0.2188,0,,,82,0.4643,0.4643,0,,,309355,0.0604,0.0097,200.5,0.1264,0.2853,0,0,0
4/1/19 0:00,21234,"Parkville, MD",,229924.75,-0.0001,0.0454,203,0.0856,0.041,38,-0.0256,0.0857,118,0.0536,0.2826,8,1,1,90,0.1842,0.3235,0,,,241189,0.0137,0.0125,203,0.0856,0.041,0,0,0
4/1/19 0:00,21236,"Nottingham, MD",*,267500,0.0492,,104,0.1183,0.0722,39,0.0263,0.1642,60,0.1538,0.3636,4,,,40,0.1111,0.4286,0,,,291255,0.0328,0.1758,104,0.1183,0.0722,0,0,0
4/1/19 0:00,21237,"Rosedale, MD",,253875,0.0153,0.0894,83,0.1216,-0.2455,49.5,-0.1466,0.0645,48,0.7143,0.2,4,,0,22,0.375,-0.0833,0,,,286244,-0.0214,0.1291,83,0.1216,-0.2455,0,0,0
4/1/19 0:00,21239,"Baltimore, MD",,169950,0.0012,0.0685,48.5,0.0319,-0.3356,38,0.027,-0.1364,30,0.25,-0.0625,0,,,16,1,0.3333,0,,,178587,-0.0035,-0.0444,48.5,0.0319,-0.3356,0,0,0
4/1/19 0:00,21244,"Windsor Mill, MD",,220050,-0.0222,0,49.5,0.0761,-0.066,42.25,-0.0815,-0.2028,26,-0.0714,0.3,0,,,10,-0.1667,-0.1667,0,,,239434,-0.0001,-0.042,49.5,0.0761,-0.066,0,0,0
4/1/19 0:00,21286,"Towson, MD",,334975,0.0305,-0.0499,87,0.2609,0.0875,38.25,-0.3625,0.0479,50,0.5625,0.5625,0,-1,,26,0.0833,0.0833,0,,,371082,0.0391,-0.0339,87,0.2609,0.0875,0,0,0
4/1/19 0:00,21401,"Annapolis, MD",,550625,-0.0002,-0.0254,277.5,0.128,0.0054,49.25,-0.088,-0.0437,96,0.0909,-0.0769,4,0,0,86,0.1944,0.5357,0,,,740768,-0.0138,0.0107,277.5,0.128,0.0054,0,0,0
4/1/19 0:00,21403,"Annapolis, MD",*,499500,0.009,,219.5,0.2472,,49.5,-0.2016,,80,-0.0476,-0.2,2,,-0.5,68,0.7,0.3077,0,,,814932,0.0702,0.2785,219.5,0.2472,0.1199,0,0,0
4/1/19 0:00,21409,"Annapolis, MD",,539050,-0.1126,0,134,0.301,0.0308,70,-0.3333,0.3462,52,0.4444,0.0833,2,,,38,0.5833,-0.05,0,,,788932,0.0054,0.0055,134,0.301,0.0308,0,0,0
4/1/19 0:00,21502,"Cumberland, MD",,99950,0.0006,-0.091,255,0.1135,0.0408,85.25,-0.318,-0.1559,62,0.55,0.1923,0,,,58,0.6111,0.45,0,,,121423,-0.0045,-0.0926,255,0.1135,0.0408,0,0,0
4/1/19 0:00,21532,"Frostburg, MD",,129950,0.0392,0.0916,62.5,-0.0385,-0.0234,142.5,-0.238,0.2179,12,0,-0.25,0,,,12,-0.25,-0.4,0,,,139635,0.0321,0.0932,62.5,-0.0385,-0.0234,0,0,0
4/1/19 0:00,21541,"McHenry, MD",*,407500,0.0751,,97,0.0543,-0.0202,220.5,-0.0735,0.1308,24,2,0.5,0,,,14,,-0.125,1,0,0,482895,0.0035,-0.0485,98,0.0538,-0.02,0.0103,-0.0006,0.0002
4/1/19 0:00,21550,"Oakland, MD",,264950,0,0.1179,149.5,0.0755,-0.1554,141.25,-0.343,-0.3225,40,1.5,0.1111,0,,-1,4,-0.6667,-0.8,0,,,418862,0.0134,0.1842,149.5,0.0755,-0.1554,0,0,0
4/1/19 0:00,21561,"Swanton, MD",*,442450,-0.0056,,65.5,0.1696,,174,-0.0595,,12,0.5,0.5,0,,,6,,,0,,,599809,-0.0559,-0.1158,65.5,0.1696,0.5233,0,0,0
4/1/19 0:00,21562,"Westernport, MD",*,41425,-0.0149,,17,-0.0556,0,128.25,-0.2544,0.2451,0,,-1,0,,,6,,,0,,,56677,-0.0382,-0.4465,17,-0.0556,0,0,0,0
